EQUINOR  N-1 DC Monitored Facility Loadings[TARA Ver 2302.2.0.0 64-bit - Thu Jul 17 13:46:52 2025]

 Loadflow Case: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_EPE_pp10DEL_C0_v2 (3).raw
 Study Data File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_Sub.sub
 Contingency File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_CTGs.con (total 5674 contingencies)
 Monitor File: C:\Users\DFARR\Downloads\ISONE_Automation\2027-28-fca-qualification-study-files\2027-28_FCA_Qual_OverlappingImpact_Mon.mon (0.0% loading cutoff)
 Exclude File: not provided
 Pre/Post Contingency PAR Adjustment: Adjusted/Fixed

 Monitored Facility                                   ,Fr Bus,Fr Name,To Bus,To Name,CKT,kVs,Areas,Zones Name,Rate Base (MVA),Rate Cont (MVA), Cont Name                                                      ,Cont ID,Base Flow (MW),Cont Flow (MW),Final DC %Loading,Severity Rank,Dfax FromTo Bus 113987,Dfax ToFrom Bus 113987,Dfax Harmer Positive (based on flow direction) Bus 113987,
100163 MAGUIRE ROAD  115  103719 ES_250_CMP    115  1  ,100163,MAGUIRE ROAD,103719,ES_250_CMP,1 ,115 ,101,ME_CMP_P/BORDER-BUS,     226.0,     226.0,BF_MGRD_6340,  4158,143.6,206.6,     91.41,6,  -0.00117,   0.00117,  -0.00117,
100163 MAGUIRE ROAD  115  103719 ES_250_CMP    115  1  ,100163,MAGUIRE ROAD,103719,ES_250_CMP,1 ,115 ,101,ME_CMP_P/BORDER-BUS,     226.0,     226.0,BF_DRFLD_785,   467,143.6,206.3,     91.28,7,  -0.00060,   0.00060,  -0.00060,
115719 TIVERTN 14_T  115  117356 TIVERTON_L14  115  1  ,115719,TIVERTN 14_T,117356,TIVERTON_L14,1 ,115 ,101,MA_NG_FALR_T/RI_PROVIDC_T,     215.0,     289.0,LN_M13S,  1831,-129.2,-262.2,     90.71,1,   0.00000,  -0.00000,  -0.00000,
115719 TIVERTN 14_T  115  117356 TIVERTON_L14  115  1  ,115719,TIVERTN 14_T,117356,TIVERTON_L14,1 ,115 ,101,MA_NG_FALR_T/RI_PROVIDC_T,     215.0,     289.0,BF_JEPSN_132,  3963,-129.2,-262.2,     90.71,2,   0.00000,  -0.00000,  -0.00000,
115719 TIVERTN 14_T  115  117356 TIVERTON_L14  115  1  ,115719,TIVERTN 14_T,117356,TIVERTON_L14,1 ,115 ,101,MA_NG_FALR_T/RI_PROVIDC_T,     215.0,     289.0,BF_BELRK_311,  3323,-129.2,-262.2,     90.71,4,   0.00000,  -0.00000,  -0.00000,
115719 TIVERTN 14_T  115  117356 TIVERTON_L14  115  1  ,115719,TIVERTN 14_T,117356,TIVERTON_L14,1 ,115 ,101,MA_NG_FALR_T/RI_PROVIDC_T,     215.0,     289.0,BF_JEPSN_M13,  3967,-129.2,-262.2,     90.71,6,   0.00000,  -0.00000,  -0.00000,
115719 TIVERTN 14_T  115  117356 TIVERTON_L14  115  1  ,115719,TIVERTN 14_T,117356,TIVERTON_L14,1 ,115 ,101,MA_NG_FALR_T/RI_PROVIDC_T,     215.0,     289.0,NF_M13-6,  2894,-129.2,-262.2,     90.71,5,   0.00000,  -0.00000,  -0.00000,
115719 TIVERTN 14_T  115  117356 TIVERTON_L14  115  1  ,115719,TIVERTN 14_T,117356,TIVERTON_L14,1 ,115 ,101,MA_NG_FALR_T/RI_PROVIDC_T,     215.0,     289.0,BF_BELRK_M13,  3327,-129.2,-262.2,     90.71,3,   0.00000,  -0.00000,  -0.00000,
117355 TIVERTON_M13  115  118123 NGR_M13_CON   115  1  ,117355,TIVERTON_M13,118123,NGR_M13_CON,1 ,115 ,101,RI_PROVIDC_T/BORDER-BUS,     215.0,     289.0,NF_L14-5,  2885,-132.8,-262.1,     90.68,7,   0.00000,  -0.00000,  -0.00000,
110901 EDGAR         115  110906 E.WEYMTH 508  115  1  ,110901,EDGAR,110906,E.WEYMTH 508,1 ,115 ,101,MA_SOUTHRN_P,     226.0,     293.0,DC_478-502_3_NPCC_NERC,  5123,135.2,265.1,     90.48,1,   0.00000,  -0.00000,   0.00000,
115718 TIVERTN 13_T  115  117355 TIVERTON_M13  115  1  ,115718,TIVERTN 13_T,117355,TIVERTON_M13,1 ,115 ,101,MA_NG_FALR_T/RI_PROVIDC_T,     215.0,     289.0,BF_BELRK_L14,  3326,-119.2,-260.7,     90.22,3,  -0.00000,   0.00000,   0.00000,
115718 TIVERTN 13_T  115  117355 TIVERTON_M13  115  1  ,115718,TIVERTN 13_T,117355,TIVERTON_M13,1 ,115 ,101,MA_NG_FALR_T/RI_PROVIDC_T,     215.0,     289.0,BF_JEPSN_4T3,  3965,-119.2,-260.7,     90.22,2,  -0.00000,   0.00000,   0.00000,
115718 TIVERTN 13_T  115  117355 TIVERTON_M13  115  1  ,115718,TIVERTN 13_T,117355,TIVERTON_M13,1 ,115 ,101,MA_NG_FALR_T/RI_PROVIDC_T,     215.0,     289.0,BF_BELRK_314,  3324,-119.2,-260.7,     90.22,5,  -0.00000,   0.00000,   0.00000,
115718 TIVERTN 13_T  115  117355 TIVERTON_M13  115  1  ,115718,TIVERTN 13_T,117355,TIVERTON_M13,1 ,115 ,101,MA_NG_FALR_T/RI_PROVIDC_T,     215.0,     289.0,NF_L14-6,  2886,-119.2,-260.7,     90.22,6,  -0.00000,   0.00000,   0.00000,
115718 TIVERTN 13_T  115  117355 TIVERTON_M13  115  1  ,115718,TIVERTN 13_T,117355,TIVERTON_M13,1 ,115 ,101,MA_NG_FALR_T/RI_PROVIDC_T,     215.0,     289.0,LN_L14,  1818,-119.2,-260.7,     90.22,1,  -0.00000,   0.00000,   0.00000,
115718 TIVERTN 13_T  115  117355 TIVERTON_M13  115  1  ,115718,TIVERTN 13_T,117355,TIVERTON_M13,1 ,115 ,101,MA_NG_FALR_T/RI_PROVIDC_T,     215.0,     289.0,BF_JEPSN_L14,  3966,-119.2,-260.7,     90.22,4,  -0.00000,   0.00000,   0.00000,
100163 MAGUIRE ROAD  115  103719 ES_250_CMP    115  1  ,100163,MAGUIRE ROAD,103719,ES_250_CMP,1 ,115 ,101,ME_CMP_P/BORDER-BUS,     226.0,     226.0,BF_FNR_QUAKRHL,  3758,143.6,203.4,     90.00,8,  -0.00123,   0.00123,  -0.00123,
100163 MAGUIRE ROAD  115  103719 ES_250_CMP    115  1  ,100163,MAGUIRE ROAD,103719,ES_250_CMP,1 ,115 ,101,ME_CMP_P/BORDER-BUS,     226.0,     226.0,BF_QKHL_1405,  4477,143.6,203.4,     90.00,9,  -0.00123,   0.00123,  -0.00123,
110901 EDGAR         115  110905 E.WEYMTH 503  115  1  ,110901,EDGAR,110905,E.WEYMTH 503,1 ,115 ,101,MA_SOUTHRN_P,     260.0,     323.0,DC_478-508_9_NPCC_NERC,  5125,151.0,290.1,     89.82,1,   0.00000,  -0.00000,   0.00000,
100150 SECT 83C TAP  115  100173 SAPPI SOMRST  115  1  ,100150,SECT 83C TAP,100173,SAPPI SOMRST,1 ,115 ,101,ME_CMP_P,     118.0,     118.0,GN_SOMR_2,  1088,45.4,105.4,     89.36,1,   0.00000,  -0.00000,   0.00000,
100163 MAGUIRE ROAD  115  103719 ES_250_CMP    115  1  ,100163,MAGUIRE ROAD,103719,ES_250_CMP,1 ,115 ,101,ME_CMP_P/BORDER-BUS,     226.0,     226.0,BS_QUAKERHL,  3165,143.6,201.6,     89.19,10,  -0.00123,   0.00123,  -0.00123,
114744 DEPOT ST_129  115  114842 DEPOT T2     99.0  1  ,114744,DEPOT ST_129,114842,DEPOT T2,1 ,115/99 ,101,MA_NG_SEMA_T,      47.0,      47.0,BF_PURCHSE_1,  4465,29.4,41.7,     88.66,1,  -0.00000,   0.00000,  -0.00000,
114744 DEPOT ST_129  115  114842 DEPOT T2     99.0  1  ,114744,DEPOT ST_129,114842,DEPOT T2,1 ,115/99 ,101,MA_NG_SEMA_T,      47.0,      47.0,BF_MEDWAY_11,  4139,29.4,41.7,     88.63,4,   0.00000,  -0.00000,   0.00000,
114744 DEPOT ST_129  115  114842 DEPOT T2     99.0  1  ,114744,DEPOT ST_129,114842,DEPOT T2,1 ,115/99 ,101,MA_NG_SEMA_T,      47.0,      47.0,BF_MEDWAY_10,  4138,29.4,41.7,     88.63,3,   0.00000,  -0.00000,   0.00000,
114744 DEPOT ST_129  115  114842 DEPOT T2     99.0  1  ,114744,DEPOT ST_129,114842,DEPOT T2,1 ,115/99 ,101,MA_NG_SEMA_T,      47.0,      47.0,LN_D130_501,  1709,29.4,41.7,     88.63,6,   0.00000,  -0.00000,   0.00000,
114744 DEPOT ST_129  115  114842 DEPOT T2     99.0  1  ,114744,DEPOT ST_129,114842,DEPOT T2,1 ,115/99 ,101,MA_NG_SEMA_T,      47.0,      47.0,BF_MILB_0-42,  4173,29.4,41.7,     88.63,2,   0.00000,  -0.00000,   0.00000,
114744 DEPOT ST_129  115  114842 DEPOT T2     99.0  1  ,114744,DEPOT ST_129,114842,DEPOT T2,1 ,115/99 ,101,MA_NG_SEMA_T,      47.0,      47.0,BF_MLFDPWR_F,  4195,29.4,41.7,     88.63,5,   0.00000,  -0.00000,   0.00000,
110803 READING N140  115  111656 ES211-504RM   115  1  ,110803,READING N140,111656,ES211-504RM,1 ,115 ,101,MA_BOSTON_P/BORDER-BUS,     138.0,     153.0,NF_211-503-4,  2706,79.4,135.5,     88.54,1,   0.00000,  -0.00000,   0.00000,
110803 READING N140  115  111656 ES211-504RM   115  1  ,110803,READING N140,111656,ES211-504RM,1 ,115 ,101,MA_BOSTON_P/BORDER-BUS,     138.0,     153.0,BF_TWKS_9-46,  4778,79.4,135.5,     88.54,2,   0.00000,  -0.00000,   0.00000,
110803 READING N140  115  111656 ES211-504RM   115  1  ,110803,READING N140,111656,ES211-504RM,1 ,115 ,101,MA_BOSTON_P/BORDER-BUS,     138.0,     153.0,BF_WOBRN_3,  4949,79.4,135.5,     88.54,3,   0.00000,  -0.00000,   0.00000,
110803 READING N140  115  111656 ES211-504RM   115  1  ,110803,READING N140,111656,ES211-504RM,1 ,115 ,101,MA_BOSTON_P/BORDER-BUS,     138.0,     153.0,BF_TWKS_M139,  4784,79.4,135.5,     88.54,4,   0.00000,  -0.00000,   0.00000,
